Case Number,Case Title,Requesting Court,Topics,Judgment ECLI,Judgment CELEX,Has AG Opinion,AG Opinion Title,AG Opinion ECLI,Has Summary,Summary CELEX
Case C-125/10.,Case C-125/10. Merck Sharp & Dohme (anciennement Merck & Co. Inc.) v Deutsches Patent- und Markenamt,,Reference for a preliminary ruling: Bundespatentgericht - Germany.,ECLI:EU:C:2011:812,62010CJ0125,No,,,Yes,62010CJ0125_SUM
Case C-157/10.,Case C-157/10. Banco Bilbao Vizcaya Argentaria v Administración General del Estado,,Reference for a preliminary ruling: Tribunal Supremo - Spain.,ECLI:EU:C:2011:813,62010CJ0157,No,,,Yes,62010CJ0157_SUM
Case C-275/10.,Case C-275/10. Residex Capital IV v Gemeente Rotterdam,,Reference for a preliminary ruling: Hoge Raad der Nederlanden - Netherlands.,ECLI:EU:C:2011:814,62010CJ0275,Yes,Opinion of Advocate General Kokott delivered on 26 May 2011.,ECLI:EU:C:2011:354,Yes,62010CJ0275_SUM
Case C-386/10 P.,Case C-386/10 P. Chalkor v Commission,,,ECLI:EU:C:2011:815,62010CJ0386,No,,,Yes,62010CJ0386_SUM
Case C-389/10 P.,Case C-389/10 P. KME Germany and Others v Commission,,,ECLI:EU:C:2011:816,62010CJ0389,No,,,Yes,62010CJ0389_SUM
Case C-119/10.,Case C-119/10. Frisdranken Industrie Winters v Red Bull,,Reference for a preliminary ruling: Hoge Raad der Nederlanden - Netherlands.,ECLI:EU:C:2011:837,62010CJ0119,Yes,Opinion of Advocate General Kokott delivered on 14 April 2011.,ECLI:EU:C:2011:258,Yes,62010CJ0119_SUM
Case C-191/10.,Case C-191/10. Rastelli Davide e C. v Hidoux,,Reference for a preliminary ruling: Cour de cassation - France.,ECLI:EU:C:2011:838,62010CJ0191,No,,,Yes,62010CJ0191_SUM
Case C-257/10.,Case C-257/10. Försäkringskassan v Bergström,,Reference for a preliminary ruling: Högsta förvaltningsdomstolen (anciennement Regeringsrätten) - Sweden.,ECLI:EU:C:2011:839,62010CJ0257,No,,,Yes,62010CJ0257_SUM
Case C-384/10.,Case C-384/10. Voogsgeerd v Navimer,,Reference for a preliminary ruling: Hof van Cassatie - Belgium.,ECLI:EU:C:2011:842,62010CJ0384,Yes,Opinion of Advocate General Trstenjak delivered on 8 September 2011.,ECLI:EU:C:2011:564,Yes,62010CJ0384_SUM
Case C-409/10.,Case C-409/10. Hauptzollamt Hamburg-Hafen v Afasia Knits Deutschland,,Reference for a preliminary ruling: Bundesfinanzhof - Germany.,ECLI:EU:C:2011:843,62010CJ0409,No,,,Yes,62010CJ0409_SUM
Case C-427/10.,Case C-427/10. Banca Antoniana Popolare Veneta v Ministero dell'Economia e delle Finanze and Agenzia delle Entrate,,Reference for a preliminary ruling: Corte suprema di cassazione - Italy.,ECLI:EU:C:2011:844,62010CJ0427,No,,,Yes,62010CJ0427_SUM
Case C-585/10.,Case C-585/10. Møller v Haderslev Kommune,,Reference for a preliminary ruling: Vestre Landsret - Denmark.,ECLI:EU:C:2011:847,62010CJ0585,No,,,Yes,62010CJ0585_SUM
Case C-27/09 P.,Case C-27/09 P. France v Council,,,ECLI:EU:C:2011:853,62009CJ0027,Yes,Opinion of Advocate General Sharpston delivered on 14 July 2011.,ECLI:EU:C:2011:482,Yes,62009CJ0027_SUM
Case C-28/09.,Case C-28/09. Commission v Austria,,,ECLI:EU:C:2011:854,62009CJ0028,Yes,Opinion of Advocate General Trstenjak delivered on 16 December 2010.,ECLI:EU:C:2010:770,Yes,62009CJ0028_SUM
Case C-271/09.,Case C-271/09. Commission v Poland,,,ECLI:EU:C:2011:855,62009CJ0271,No,,,Yes,62009CJ0271_SUM
Case C-242/10.,Case C-242/10. Enel Produzione v Autorità per l'energia elettrica e il gas,,Reference for a preliminary ruling: Tribunale amministrativo regionale per la Lombardia - Italy.,ECLI:EU:C:2011:861,62010CJ0242,No,,,Yes,62010CJ0242_SUM
Case C-316/10.,Case C-316/10. Danske Svineproducenter v Justitsministeriet,,Reference for a preliminary ruling: Vestre Landsret - Denmark.,ECLI:EU:C:2011:863,62010CJ0316,No,,,Yes,62010CJ0316_SUM
Case C-366/10.,Case C-366/10. The Air Transport Association of America and Others v The Secretary of State for Energy and Climate Change,,"Reference for a preliminary ruling - Directive 2003/87/EC - Scheme for greenhouse gas emission allowance trading - Directive 2008/101/EC - Inclusion of aviation activities in that scheme - Validity - Chicago Convention - Kyoto Protocol - EU-United States Air Transport Agreement - Principles of customary international law - Legal effects thereof - Whether they may be relied upon - Extraterritoriality of European Union law - Meaning of ‘charges’, ‘fees’ and ‘taxes’.",ECLI:EU:C:2011:864,62010CJ0366,Yes,Opinion of Advocate General Kokott delivered on 6 October 2011.,ECLI:EU:C:2011:637,Yes,62010CJ0366_SUM
Joined cases C-411/10 and C-493/10.,Joined cases C-411/10 and C-493/10. NS and Others v Secretary of State for the Home Department and Others,,,ECLI:EU:C:2011:865,62010CJ0411,Yes,Opinion of Advocate General Trstenjak delivered on 22 September 2011,ECLI:EU:C:2011:610,Yes,62010CJ0411_SUM
Joined cases C-424/10 and C-425/10.,Joined cases C-424/10 and C-425/10. Ziolkowski and Szeja v Das Land Berlin,,,ECLI:EU:C:2011:866,62010CJ0424,No,,,Yes,62010CJ0424_SUM
Case C-465/10.,"Case C-465/10. Ministre de l'Intérieur, de l'Outre-mer, des Collectivités territoriales et de l'Immigration v Chambre de commerce et d'industrie de l'Indre",,"Reference for a preliminary ruling - Protection of the European Union’s financial interests - Regulation (EC, Euratom) No 2988/95 - Article 3 - Structural Funds - Regulation (EEC) No 2052/88 - Regulation (EEC) No 4253/88 - Contracting authority in receipt of a subsidy from the Structural Funds - Failure to comply with public procurement rules by the recipient of an ERDF subsidy - Basis for the obligation to recover European Union subsidies in the case of an irregularity - Concept of ‘irregularity’ - Concept of ‘continuous irregularity’ - Conditions for recovery - Limitation period - Longer national limitation periods - Principle of proportionality.",ECLI:EU:C:2011:867,62010CJ0465,Yes,Opinion of Advocate General Sharpston delivered on 15 September 2011.,ECLI:EU:C:2011:596,Yes,62010CJ0465_SUM
Case C-482/10.,Case C-482/10. Cicala v Regione Siciliana,,Reference for a preliminary ruling: Corte dei Conti - sezione giurisdizionale per la Regione Siciliana - Italy.,ECLI:EU:C:2011:868,62010CJ0482,No,,,Yes,62010CJ0482_SUM
Case C-495/10.,Case C-495/10. Centre hospitalier universitaire de Besançon v Dutrueux and Caisse primaire d'assurance maladie du Jura,,Reference for a preliminary ruling: Conseil d'État - France.,ECLI:EU:C:2011:869,62010CJ0495,No,,,Yes,62010CJ0495_SUM
Case C-499/10.,Case C-499/10. Vlaamse Oliemaatschappij v FOD Financiën,,Reference for a preliminary ruling: Rechtbank van eerste aanleg te Brugge - Belgium.,ECLI:EU:C:2011:871,62010CJ0499,No,,,Yes,62010CJ0499_SUM
Case C-503/10.,"Case C-503/10. Evroetil v Direktor na Agentsia ""Mitnitsi""",,Reference for a preliminary ruling: Varhoven administrativen sad - Bulgaria.,ECLI:EU:C:2011:872,62010CJ0503,No,,,Yes,62010CJ0503_SUM
Case C-507/10.,Case C-507/10. X v Y,,Reference for a preliminary ruling: Tribunale di Firenze - Italy.,ECLI:EU:C:2011:873,62010CJ0507,No,,,Yes,62010CJ0507_SUM
Case C-72/11.,Case C-72/11. Der Generalbundesanwalt beim Bundesgerichtshof v Afrasiabi and Others,,Reference for a preliminary ruling: Oberlandesgericht Düsseldorf - Germany.,ECLI:EU:C:2011:874,62011CJ0072,No,,,Yes,62011CJ0072_SUM
Case C-157/09.,Case C-157/09. Commission v Netherlands,,,ECLI:EU:C:2011:794,,No,,,No,
Case C-515/10.,Case C-515/10. Commission v France,,,ECLI:EU:C:2011:801,,No,,,No,
Case C-222/11 P.,Case C-222/11 P. Longevity Health Products v EUIPO,,,,,No,,,No,
Case C-45/11 P.,Case C-45/11 P. Deutsche Bahn v EUIPO,,,,,No,,,No,
Case C-69/11.,Case C-69/11. Connoisseur Belgium v Belgische Staat,,,,,No,,,No,
Case C-349/11.,Case C-349/11. Auditeur du travail v Yangwei,,,,,No,,,No,
Case C-446/10 P(R).,Case C-446/10 P(R). Alcoa Trasformazioni v Commission,,,,,No,,,No,
Case C-434/11.,Case C-434/11. Corpul Naţional al Poliţiştilor v MAI and Others,,Reference for a preliminary ruling - Charter of Fundamental Rights of the European Union - Admissibility of national legislation providing for salary reductions in relation to various categories of public officials - Failure to implement European Union law - Court clearly lacking jurisdiction.,,,No,,,No,
Case C-462/11.,Case C-462/11. Cozman v Teatrul Municipal Târgovişte,,Reference for a preliminary ruling - First Additional Protocol to the European Convention for the Protection of Human Rights and Fundamental Freedoms - Whether national legislation establishing reductions in the salaries of several categories of public-sector employee is lawful - Lack of connection to European Union law - Clear lack of jurisdiction of the Court.,,,No,,,No,
Joined cases C-483/11 and C-484/11.,Joined cases C-483/11 and C-484/11. Boncea and Others v Statul român prin Ministerul Finanţelor Publice and Statul român – Ministerul Finanţelor Publice prin Direcţia Generală a Finanţelor Publice Argeş,,"Reference for a preliminary ruling - Articles 43, 92(1) and 103(1 )of the Rules of Procedure - Charter of Fundamental Rights of the European Union - Compensation payable to persons sentenced in political trials under the Communist regime - Right to compensation for non-material harm suffered - Failure to implement European Union law - Court clearly lacking jurisdiction.",,,No,,,No,
Case C-560/08.,Case C-560/08. Commission v Spain,,,ECLI:EU:C:2011:835,,No,,,No,
Case C-624/10.,Case C-624/10. Commission v France,,,ECLI:EU:C:2011:849,,No,,,No,
Case C-126/11.,Case C-126/11. INNO v UNIZO and Others,,,,,No,,,No,
Case C-411/11 P.,Case C-411/11 P. Altner v Commission,,,,,No,,,No,
Case C-318/09 P.,Case C-318/09 P. A2A (anciennement ASM Brescia) v Commission,,,ECLI:EU:C:2011:856,,No,,,No,
Case C-319/09 P.,Case C-319/09 P. ACEA v Commission,,,ECLI:EU:C:2011:857,,No,,,No,
Case C-320/09 P.,Case C-320/09 P. A2A (anciennement AEM) v Commission,,,ECLI:EU:C:2011:858,,No,,,No,
Case C-329/09 P.,Case C-329/09 P. Iride (anciennement AMGA) v Commission,,,ECLI:EU:C:2011:859,,No,,,No,
Case C-250/10.,Case C-250/10. Haltergemeinschaft v Hauptzollamt Düsseldorf,,,ECLI:EU:C:2011:862,,No,,,No,
Case C‑302/10,Case C‑302/10 Infopaq International v Danske Dagblades Forening,,Reference for a preliminary ruling from the Højesteret,,,No,,,Yes,62010CO0302
Case C-347/10,Case C-347/10 Salemink v Raad van bestuur van het Uitvoeringsinstituut werknemersverzekeringen,,Reference for a preliminary ruling from the Rechtbank Amsterdam,ECLI:EU:C:2012:17,62010CJ0347,Yes,Opinion of Advocate General Cruz Villalón delivered on 8 September 2011,ECLI:EU:C:2011:562,Yes,62010CJ0347
Case C-392/10,Case C-392/10 Suiker Unie v Hauptzollamt Hamburg-Jonas,,Reference for a preliminary ruling from the Finanzgericht Hamburg,ECLI:EU:C:2012:23,62010CJ0392,No,,,Yes,62010CJ0392
Case C‑53/11 P,Case C‑53/11 P OHIM v Nike International,,,ECLI:EU:C:2012:27,62011CJ0053,No,,,Yes,62011CJ0053
Case C-282/10,Case C-282/10 Dominguez v Centre informatique du Centre Ouest Atlantique and Préfet de la région Centre,,Reference for a preliminary ruling from the Cour de cassation (France),ECLI:EU:C:2012:33,62010CJ0282,Yes,Opinion of Advocate General Trstenjak delivered on 8 September 2011,ECLI:EU:C:2011:559,Yes,62010CJ0282
Case C‑218/10,Case C‑218/10 ADV Allround v Finanzamt Hamburg-Bergedorf,,Reference for a preliminary ruling from the Finanzgericht Hamburg,ECLI:EU:C:2012:35,62010CJ0218,Yes,Opinion of Advocate General Mazák delivered on 28 June 2011,ECLI:EU:C:2011:428,Yes,62010CJ0218
Case C-586/10,Case C-586/10 Kücük v Land Nordrhein-Westfalen,,Reference for a preliminary ruling from the Bundesarbeitsgericht,ECLI:EU:C:2012:39,62010CJ0586,No,,,Yes,62010CJ0586
Case C‑588/10,Case C‑588/10 Minister Finansów v Kraft Foods Polska,,Reference for a preliminary ruling from the Naczelny Sąd Administracyjny,ECLI:EU:C:2012:40,62010CJ0588,No,,,Yes,62010CJ0588
Case C‑462/10 P,Case C‑462/10 P Evropaïki Dynamiki v EEA,,,,,No,,,No,
Case C‑496/10,Case C‑496/10 Criminal proceedings against Patriciello,,,,,No,,,No,
Case C‑117/11,Case C‑117/11 Purple Parking and Airparks Services v Commissioners for Her Majesty's Revenue & Customs,,,,,No,,,No,
Case C‑227/11,"Case C‑227/11 DHL Danzas Air & Ocean v Inspecteur van de Belastingdienst/Douane West, kantoor Hoofddorp",,,,,No,,,No,
Case C‑185/11,Case C‑185/11 Commission v Slovenia,,,ECLI:EU:C:2012:43,62011CJ0185,No,,,No,
Case C‑192/11,Case C‑192/11 Commission v Poland,,,ECLI:EU:C:2012:44,62011CJ0192,No,,,No,
Case C‑323/06 P-DEP,Case C‑323/06 P-DEP Commission v Kallianos,,,,,No,,,No,
Case C‑545/09,Case C‑545/09 Commission v United Kingdom,,,ECLI:EU:C:2012:52,62009CJ0545,No,,,Yes,62009CJ0545
Case C‑249/10 P,Case C‑249/10 P Brosmann Footwear (HK) and Others v Council,,,ECLI:EU:C:2012:53,62010CJ0249,Yes,Opinion of Advocate General Mengozzi delivered on 6 September 2011,ECLI:EU:C:2011:544,Yes,62010CJ0249
Case C‑210/10,Case C‑210/10 Urbán v Vám- és Pénzügyőrség Észak-alföldi Regionális Parancsnoksága,,Reference for a preliminary ruling from the Hajdú-Bihar Megyei Bíróság,ECLI:EU:C:2012:64,62010CJ0210,No,,,Yes,62010CJ0210
Case C‑277/10,Case C‑277/10 Luksan v van der Let,,"Reference for a preliminary ruling — Approximation of laws — Intellectual property — Copyright and related rights — Directives 93/83/EEC, 2001/29/EC, 2006/115/EC and 2006/116/EC — Sharing of the rights to exploit a cinematographic work, by contract, between the principal director and the producer of the work — National legislation allotting those rights, exclusively and by operation of law, to the film producer — Possibility of departing from that rule by an agreement between the parties — Subsequent rights to remuneration",ECLI:EU:C:2012:65,62010CJ0277,Yes,Opinion of Advocate General Trstenjak delivered on 6 September 2011,ECLI:EU:C:2011:545,Yes,62010CJ0277
Case C‑204/09,Case C‑204/09 Flachglas Torgau v Bundesrepublik Deutschland,,Reference for a preliminary ruling — Aarhus Convention — Directive 2003/4/EC — Access to environmental information — Bodies or institutions acting in a legislative capacity — Confidentiality of the proceedings of public authorities — Condition that the confidentiality must be provided for by law,ECLI:EU:C:2012:71,62009CJ0204,Yes,Opinion of Advocate General Sharpston delivered on 22 June 2011,ECLI:EU:C:2011:413,Yes,62009CJ0204
Case C‑17/10,Case C‑17/10 Toshiba Corporation and Others v Úřad pro ochranu hospodářské soutěže,,Reference for a preliminary ruling from the Krajský soud v Brně,ECLI:EU:C:2012:72,62010CJ0017,Yes,Opinion of Advocate General Kokott delivered on 8 September 2011,ECLI:EU:C:2011:552,Yes,62010CJ0017
Joined Cases C‑191/09 P and C‑200/09 P,Joined Cases C‑191/09 P and C‑200/09 P Council v Interpipe Niko Tube and Interpipe NTRP and Commission v Council,,,ECLI:EU:C:2012:78,62009CJ0191,Yes,Opinion of Advocate General Mengozzi delivered on 14 April 2011,ECLI:EU:C:2011:245,Yes,62009CJ0191
Joined Cases C‑72/10 and C‑77/10,Joined Cases C‑72/10 and C‑77/10 Criminal proceedings against Costa and Cifone,,,ECLI:EU:C:2012:80,62010CJ0072,Yes,Opinion of Advocate General Cruz Villalón delivered on 27 October 2011,ECLI:EU:C:2011:699,Yes,62010CJ0072
Case C‑182/10,Case C‑182/10 Solvay and Others v Région wallonne,,Reference for a preliminary ruling from the Cour constitutionnelle (Belgium),ECLI:EU:C:2012:82,62010CJ0182,No,,,Yes,62010CJ0182
Case C-360/10,Case C-360/10 SABAM v Netlog,,Reference for a preliminary ruling from the rechtbank van eerste aanleg te Brussel,ECLI:EU:C:2012:85,62010CJ0360,No,,,Yes,62010CJ0360
Case C‑372/10,Case C‑372/10 Pak-Holdco v Dyrektor Izby Skarbowej w Poznaniu,,Reference for a preliminary ruling from the Naczelny Sąd Administracyjny,ECLI:EU:C:2012:86,62010CJ0372,No,,,Yes,62010CJ0372
C‑488/10,C‑488/10 Celaya Emparanza y Galdos Internacional v Proyectos Integrales de Balizamientos,,Reference for a preliminary ruling from the Juzgado de lo Mercantil nº 1 de Alicante y nº 1 de Marca Comunitaria,ECLI:EU:C:2012:88,62010CJ0488,Yes,Opinion of Advocate General Mengozzi delivered on 8 November 2011,ECLI:EU:C:2011:714,Yes,62010CJ0488
Case C‑594/10,Case C‑594/10 Proceedings brought by van Laarhoven,,Reference for a preliminary ruling from the Hoge Raad der Nederlanden,ECLI:EU:C:2012:92,62010CJ0594,Yes,Opinion of Advocate General Kokott delivered on 8 December 2011,ECLI:EU:C:2011:820,Yes,62010CJ0594
Case C‑25/11,Case C‑25/11 Varzim Sol v Fazenda Pública,,Reference for a preliminary ruling from the Supremo Tribunal Administrativo,ECLI:EU:C:2012:94,62011CJ0025,No,,,Yes,62011CJ0025
Case C‑118/11,Case C‑118/11 Eon Aset Menidjmunt v Direktor na Direktsia Obzhalvane I upravlenie na izpalnenieto,,Reference for a preliminary ruling from the Administrativen sad Varna,ECLI:EU:C:2012:97,62011CJ0118,No,,,Yes,62011CJ0118
Case C‑134/11,Case C‑134/11 Blödel-Pawlik v HanseMerkur Reiseversicherung,,Reference for a preliminary ruling from the Landgericht Hamburg,ECLI:EU:C:2012:98,62011CJ0134,No,,,Yes,62011CJ0134
Case C-41/11,Case C-41/11 Inter-Environnement Wallonie and Terre wallonne v Région wallonne,,Reference for a preliminary ruling from the Conseil d’État (Belgium),ECLI:EU:C:2012:103,62011CJ0041,Yes,Opinion of Advocate General Kokott delivered on 8 December 2011,ECLI:EU:C:2011:822,Yes,62011CJ0041
Case C‑404/11 P,Case C‑404/11 P Elf Aquitaine v Commission,,,,,No,,,No,
Case C‑421/11 P,Case C‑421/11 P Total and Elf Aquitaine v Commission,,,,,No,,,No,
Case C‑191/11 P,Case C‑191/11 P Yorma's v OHIM,,,,,No,,,No,
Case C‑442/11,Case C‑442/11 Novartis v Actavis,,,,,No,,,No,
Case C‑556/11,Case C‑556/11 Lorenzo Martínez v Dirección Provincial de Educación Valladolid,,,,,No,,,No,
Case C‑574/11,Case C‑574/11 Novartis v Actavis Deutschland and Actavis,,,,,No,,,No,
Case C‑208/11 P,Case C‑208/11 P Internationaler Hilfsfonds v Commission,,,,,No,,,No,
Joined Cases C‑164/10 to C‑176/10,Joined Cases C‑164/10 to C‑176/10 Ferazzoli and Others v Ministero dell'Interno,,,,,No,,,No,
Case C‑255/10,Case C‑255/10 Criminal proceedings against Sacchi,,,,,No,,,No,
Case C‑279/10,Case C‑279/10 Criminal proceedings against Minesi,,,,,No,,,No,
Case C‑413/10,Case C‑413/10 Criminal proceedings against Pulignani and Others,,,,,No,,,No,
Case C‑501/10,Case C‑501/10 Criminal proceedings against Russo,,,,,No,,,No,
Case C‑107/11,Case C‑107/11 Ministero dell'Interno and Questura di Caltanissetta v Rizzo,,,,,No,,,No,
Case C‑368/11,Case C‑368/11 Procura della Repubblica v Arrichiello,,,,,No,,,No,
Case C‑612/11,Case C‑612/11 Procura della Repubblica v Veneruso,,,,,No,,,No,
Case C‑119/11,Case C‑119/11 Commission v France,,,ECLI:EU:C:2012:104,62011CJ0119,No,,,No,
Case C‑280/10,"Case C‑280/10 Kopalnia Odkrywkowa Polski Trawertyn P. Granatowicz, M. Wąsiewicz v Dyrektor Izby Skarbowej w Poznaniu",,Reference for a preliminary ruling from the Naczelny Sąd Administracyjny,,,Yes,Opinion of Advocate General Cruz Villalón delivered on 15 September 2011,ECLI:EU:C:2011:592,Yes,62010CJ0280
Case C-393/10,Case C-393/10 O'Brien v Ministry of Justice,,Reference for a preliminary ruling from the Supreme Court of the United Kingdom,ECLI:EU:C:2012:110,62010CJ0393,Yes,Opinion of Advocate General Kokott delivered on 17 November 2011,ECLI:EU:C:2011:746,Yes,62010CJ0393
Case C‑420/10,Case C‑420/10 Söll v Tetra,,Reference for a preliminary ruling from the Landgericht Hamburg,ECLI:EU:C:2012:111,62010CJ0420,Yes,Opinion of Advocate General Jääskinen delivered on 27 October 2011,ECLI:EU:C:2011:705,Yes,62010CJ0420
Case C‑467/10,Case C‑467/10 Staatsanwaltschaft Gießen v Akyüz,,Reference for a preliminary ruling from the Landgericht Gießen,ECLI:EU:C:2012:112,62010CJ0467,No,,,Yes,62010CJ0467
Case C‑484/10,Case C‑484/10 Ascafor and Asidac v Administración del Estado and Others,,Reference for a preliminary ruling from the Tribunal Supremo,ECLI:EU:C:2012:113,62010CJ0484,No,,,Yes,62010CJ0484
Case C-604/10,Case C-604/10 Football Dataco and Others v Yahoo and Others,,Reference for a preliminary ruling from the Court of Appeal (England & Wales)(Civil Division),ECLI:EU:C:2012:115,62010CJ0604,Yes,"Opinion of Advocate General Mengozzi, delivered on 15 December 2011",ECLI:EU:C:2011:848,Yes,62010CJ0604
Case C-166/11,Case C-166/11 González Alonso v Nationale Nederlanden Vida Cia De Seguros y Reaseguros,,Reference for a preliminary ruling from the Audiencia Provincial de Oviedo,ECLI:EU:C:2012:119,62011CJ0166,No,,,Yes,62011CJ0166
Case C-220/11,Case C-220/11 Star Coaches v Finanční ředitelství pro hlavní město Prahu,,Reference for a preliminary ruling from the Nejvyšší správní soud,,,No,,,Yes,62011CO0220
Case C-524/10,Case C-524/10 Commission v Portugal,,,ECLI:EU:C:2012:129,62010CJ0524,Yes,Opinion of Advocate General Kokott delivered on 22 September 2011,ECLI:EU:C:2011:613,Yes,62010CJ0524
Case C‑251/11,Case C‑251/11 Huet v Université de Bretagne Occidentale,Request for a preliminary ruling from the tribunal administratif de Rennes,,ECLI:EU:C:2012:133,62011CJ0251,No,,,Yes,62011CJ0251
Case C-380/09 P,Case C-380/09 P Melli Bank v Council,,,ECLI:EU:C:2012:137,62009CJ0380,Yes,Opinion of Advocate General Mengozzi delivered on 28 June 2011,ECLI:EU:C:2011:424,Yes,62009CJ0380
Case C-376/10 P,Case C-376/10 P Tay Za v Council,,,ECLI:EU:C:2012:138,62010CJ0376,Yes,Opinion of Advocate General Mengozzi delivered on 29 November 2011,ECLI:EU:C:2011:786,Yes,62010CJ0376
Case C-135/10,Case C-135/10 SCF v Del Corso,,Reference for a preliminary ruling from the Corte d’appello di Torino,ECLI:EU:C:2012:140,62010CJ0135,Yes,Opinion of Advocate General Trstenjak delivered on 29 June 2011,ECLI:EU:C:2011:431,Yes,62010CJ0135
Case C-162/10,Case C-162/10 Phonographic Performance (Ireland) v Ireland and Attorney General,,Reference for a preliminary ruling from the High Court (Commercial Division) (Ireland),ECLI:EU:C:2012:141,62010CJ0162,Yes,Opinion of Advocate General Trstenjak delivered on 29 June 2011,ECLI:EU:C:2011:432,Yes,62010CJ0162
Case C-292/10,Case C-292/10 G v de Visser,,Reference for a preliminary ruling from the Landgericht Regensburg,ECLI:EU:C:2012:142,62010CJ0292,No,,,Yes,62010CJ0292
Case C-340/10,Case C-340/10 Commission v Cyprus,,,ECLI:EU:C:2012:143,62010CJ0340,No,,,Yes,62010CJ0340
Case C-453/10,Case C-453/10 Pereničová and Perenič v S.O.S. financ,,Reference for a preliminary ruling from the Okresný súd Prešov,ECLI:EU:C:2012:144,62010CJ0453,Yes,Opinion of Advocate General Trstenjak delivered on 29 November 2011,ECLI:EU:C:2011:788,Yes,62010CJ0453
Joined Cases C-90/11 and C-91/11,Joined Cases C-90/11 and C-91/11 Strigl and Securvita v Deutsches Patent- und Markenamt and Öko-Invest,,Reference for a preliminary ruling from the Bundespatentgericht,ECLI:EU:C:2012:147,62011CJ0090,Yes,Opinion of Advocate General Jääskinen delivered on 26 January 2012,ECLI:EU:C:2012:42,Yes,62011CJ0090
Case C‑506/09 P,Case C‑506/09 P Portugal v Transnáutica,,,ECLI:EU:C:2012:156,62009CJ0506,No,,,Yes,62009CJ0506
Case C‑190/10,Case C‑190/10 Génesis v Boys Toys and Administración del Estado,,Reference for a preliminary ruling from the Tribunal Supremo,ECLI:EU:C:2012:157,62010CJ0190,Yes,Opinion of Advocate General Jääskinen delivered on 31 March 2011,ECLI:EU:C:2011:202,Yes,62010CJ0190
Case C‑338/10,Case C‑338/10 GLS v HZA Hamburg-Stadt,,Reference for a preliminary ruling from the Finanzgericht Hamburg,ECLI:EU:C:2012:158,62010CJ0338,Yes,Opinion of Advocate General Bot delivered on 6 October 2011,ECLI:EU:C:2011:636,Yes,62010CJ0338
Case C‑567/10,Case C‑567/10 Inter-Environnement Bruxelles and Others v Gouvernement de la Région de Bruxelles-Capitale,,Reference for a preliminary ruling from the Cour constitutionnelle (Belgium),ECLI:EU:C:2012:159,62010CJ0567,Yes,Opinion of Advocate General Kokott delivered on 17 November 2011,ECLI:EU:C:2011:755,Yes,62010CJ0567
Case C-153/11,Case C-153/11 Klub v Direktor na Direktsia Obzhalvane I upravlenie na izpalnenieto,,Reference for a preliminary ruling from the Administrativen sad Varna,ECLI:EU:C:2012:163,62011CJ0153,No,,,Yes,62011CJ0153
